2021 rank,City,State[c],2021 estimate,2020 census,Change,2020 land area,2020 land area2,2020 population density,2020 population density2,Location
106,Huntsville,Alabama,"216,963","215,006",+0.91%,218.1 sq mi,564.9 km,986/sq mi,381/km,34°41?N 86°40?W? / ?34.69°N 86.67°W
107,Des Moines,Iowa,"212,031","214,133",?0.98%,88.2 sq mi,228.4 km,"2,428/sq mi",937/km,41°34?N 93°37?W? / ?41.57°N 93.61°W
108,Moreno Valley,California,"211,600","208,634",+1.42%,51.3 sq mi,132.9 km,"4,067/sq mi","1,570/km",33°55?N 117°12?W? / ?33.92°N 117.20°W
109,Fontana,California,"210,761","208,393",+1.14%,43.1 sq mi,111.6 km,"4,835/sq mi","1,867/km",34°06?N 117°28?W? / ?34.10°N 117.46°W
110,Frisco,Texas,"210,719","200,509",+5.09%,68.6 sq mi,177.7 km,"2,923/sq mi","1,129/km",33°09?N 96°49?W? / ?33.15°N 96.82°W
111,Rochester,New York,"210,606","211,328",?0.34%,35.8 sq mi,92.7 km,"5,903/sq mi","2,279/km",43°10?N 77°37?W? / ?43.16°N 77.61°W
112,Yonkers,New York,"209,530","211,569",?0.96%,18.0 sq mi,46.6 km,"11,754/sq mi","4,538/km",40°56?N 73°52?W? / ?40.94°N 73.86°W
113,Fayetteville,North Carolina,"208,778","208,501",+0.13%,148.3 sq mi,384.1 km,"1,406/sq mi",543/km,35°05?N 78°58?W? / ?35.08°N 78.97°W
114,Worcester,Massachusetts,"205,918","206,518",?0.29%,37.4 sq mi,96.9 km,"5,522/sq mi","2,132/km",42°16?N 71°48?W? / ?42.26°N 71.80°W
115,Columbus,Georgia,"205,617","206,922",?0.63%,216.5 sq mi,560.7 km,956/sq mi,369/km,32°31?N 84°52?W? / ?32.51°N 84.87°W
116,Cape Coral,Florida,"204,510","194,016",+5.41%,106.0 sq mi,274.5 km,"1,830/sq mi",710/km,26°38?N 81°59?W? / ?26.64°N 81.99°W
117,McKinney,Texas,"202,690","195,308",+3.78%,67.0 sq mi,173.5 km,"2,915/sq mi","1,125/km",33°11?N 96°40?W? / ?33.19°N 96.66°W
118,Little Rock,Arkansas,"201,998","202,591",?0.29%,120.0 sq mi,310.8 km,"1,688/sq mi",652/km,34°43?N 92°21?W? / ?34.72°N 92.35°W
